,p_id,score,num_comments,p_timestamp,direct_reply_comments,direct_comments_proportion,median_direct_reply_time,min_reply_time,P_Sent_Neg,P_Sent_Neu,P_Sent_Pos,P_Sent_Com,median_comment_length,C_Sent_Neg,C_Sent_Neu,C_Sent_Pos,C_Sent_Com,Diff_Sent_Neg,Diff_Sent_Neu,Diff_Sent_Pos,Diff_Sent_Com,C_Neg_Feelings,C_Suicide_Act,C_Goal,C_Medical,C_FPS,P_Neg_Feelings,P_Suicide_Act,P_Goal,P_Medical,P_FPS
50,dzm8qp,5,15,2019-11-21 19:00:55,5.0,0.3333333333333333,61.05,21.483333333333334,0.0,1.0,0.0,0.0,11.5,0.2185,0.577,0.16899999999999998,0.0,0.2185,-0.42300000000000004,0.16899999999999998,0.0,0.15476190476190477,0.07670454545454546,0.16025641025641024,0.03125,0.05555555555555555,0.0,0.0,0.0,0.0,0.0
51,dzqqjs,2,0,2019-11-21 23:57:14,,0.0,,,0.129,0.61,0.261,0.9258,1.0,0.0,1.0,0.0,0.0,-0.129,0.39,-0.261,-0.9258,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.02564102564102564,0.038461538461538464,0.01282051282051282,0.01282051282051282
52,dzc8ol,78,10,2019-11-21 04:05:53,8.0,0.8,117.00833333333333,4.033333333333333,0.42499999999999993,0.5120000000000001,0.06299999999999999,-0.8802999999999999,24.0,0.358,0.5705,0.129,-0.53165,-0.06699999999999995,0.058499999999999885,0.06600000000000002,0.3486499999999999,0.19375,0.1282894736842105,0.11805555555555555,0.07445141065830721,0.11422413793103448,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
53,dzq8ov,2,3,2019-11-21 23:24:51,1.0,0.3333333333333333,2.0,2.0,0.272,0.589,0.139,-0.9506,40.0,0.176,0.568,0.224,0.2732,-0.09600000000000003,-0.02100000000000002,0.08499999999999999,1.2238,0.10344827586206896,0.034482758620689655,0.10344827586206896,0.06896551724137931,0.06896551724137931,0.125,0.0625,0.09821428571428571,0.08035714285714286,0.07142857142857142
54,dzkqkq,6,2,2019-11-21 17:19:28,1.0,0.5,122.71666666666667,122.71666666666667,0.235,0.765,0.0,-0.5574,12.0,0.0,1.0,0.0,0.0,-0.235,0.235,0.0,0.5574,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.18181818181818182
55,dzmomg,5,1,2019-11-21 19:30:54,,0.0,,,0.272,0.672,0.057,-0.9037,1.0,0.0,1.0,0.0,0.0,-0.272,0.32799999999999996,-0.057,0.9037,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223
56,dzq31r,2,0,2019-11-21 23:14:19,,0.0,,,0.319,0.586,0.095,-0.9926,1.0,0.0,1.0,0.0,0.0,-0.319,0.41400000000000003,-0.095,0.9926,0.0,0.0,0.0,0.0,0.0,0.11801242236024845,0.08074534161490683,0.08695652173913043,0.09316770186335403,0.08074534161490683
57,dzawg0,95,60,2019-11-21 02:19:56,9.0,0.15,105.03333333333333,13.1,0.23499999999999988,0.5560000000000007,0.2089999999999998,-0.4939,50.0,0.129,0.605,0.217,0.3612,-0.10599999999999987,0.048999999999999266,0.008000000000000201,0.8551,0.12048192771084337,0.05128205128205128,0.10526315789473684,0.058823529411764705,0.06666666666666667,0.13402061855670103,0.1134020618556701,0.10309278350515463,0.09278350515463918,0.10309278350515463
58,dzq0zv,2,0,2019-11-21 23:10:28,,0.0,,,0.304,0.489,0.206,-0.9668,1.0,0.0,1.0,0.0,0.0,-0.304,0.511,-0.206,0.9668,0.0,0.0,0.0,0.0,0.0,0.09734513274336283,0.061946902654867256,0.05309734513274336,0.061946902654867256,0.07079646017699115
59,dznxnq,3,3,2019-11-21 20:54:39,3.0,1.0,195.78333333333333,152.78333333333333,0.6880000000000001,0.312,0.0,-0.296,2.0,0.0,1.0,0.0,0.0,-0.6880000000000001,0.688,0.0,0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,dznrhq,3,2,2019-11-21 20:42:58,1.0,0.5,2.3333333333333335,2.3333333333333335,0.127,0.704,0.169,0.2337,7.0,0.0,1.0,0.0,0.0,-0.127,0.29600000000000004,-0.169,-0.2337,0.0625,0.0625,0.125,0.0625,0.125,0.0375,0.025,0.0375,0.0375,0.0875
